Date,Close/Last,Volume,Open,High,Low
09/13/2021,$112.07,1592684,$111.78,$112.80,$110.36
09/10/2021,$111.35,1728852,$112.64,$113.66,$111.20
09/09/2021,$112.39,2211869,$110.50,$113.0654,$110.1243
09/08/2021,$110.99,2558765,$111.32,$111.47,$109.94
09/07/2021,$111.50,2426490,$113.83,$114.49,$111.22
09/03/2021,$114.02,1762613,$115.55,$115.85,$113.87
09/02/2021,$116.26,1788091,$117.00,$117.43,$115.82
09/01/2021,$116.78,2709506,$116.54,$117.32,$114.20
08/31/2021,$116.51,2877251,$119.17,$119.17,$116.20
08/30/2021,$118.35,1722810,$118.02,$119.44,$117.43
08/27/2021,$117.50,2013209,$118.27,$118.90,$117.20
08/26/2021,$118.09,2700206,$121.83,$121.85,$117.93
08/25/2021,$121.89,3685333,$122.44,$124.91,$120.1585
08/24/2021,$121.49,11896880,$117.25,$124.035,$116.37
08/23/2021,$112.16,3630776,$113.00,$114.58,$112.05
08/20/2021,$112.63,2131117,$109.97,$113.51,$109.51
08/19/2021,$109.76,1954927,$109.00,$110.86,$108.72
08/18/2021,$110.10,2079348,$110.75,$114.10,$110.04
08/17/2021,$110.75,2212558,$113.84,$114.085,$109.71
08/16/2021,$115.36,1833084,$113.24,$115.91,$112.23
08/13/2021,$113.78,2293423,$117.97,$117.97,$113.46
08/12/2021,$118.13,1248620,$118.89,$119.299,$117.22
08/11/2021,$118.06,2565561,$115.68,$119.15,$115.12
08/10/2021,$115.02,1315600,$112.47,$115.11,$111.86
08/09/2021,$112.54,1346934,$114.66,$114.66,$111.60
08/06/2021,$114.84,1699609,$115.05,$116.4278,$114.81
08/05/2021,$115.37,1907251,$114.00,$116.38,$113.86
08/04/2021,$113.27,1134253,$113.99,$114.78,$113.00
08/03/2021,$114.65,1265655,$113.00,$115.17,$112.63
08/02/2021,$112.49,1302763,$113.09,$113.50,$112.35
07/30/2021,$112.35,1752991,$113.37,$114.91,$112.185
07/29/2021,$114.26,1386704,$113.97,$114.79,$113.17
07/28/2021,$113.06,1404397,$114.36,$114.58,$112.07
07/27/2021,$114.36,1423245,$114.53,$114.80,$113.16
07/26/2021,$114.83,1767492,$113.17,$115.57,$113.03
07/23/2021,$113.28,1620079,$111.40,$113.63,$111.29
07/22/2021,$109.98,1819944,$110.90,$111.07,$108.00
07/21/2021,$110.78,1659874,$111.36,$111.76,$110.07
07/20/2021,$110.61,1784226,$108.96,$111.515,$108.22
07/19/2021,$108.48,2527945,$108.90,$109.36,$107.06
07/16/2021,$110.59,1844356,$112.15,$113.72,$110.55
07/15/2021,$112.00,2742161,$109.01,$113.105,$108.93
07/14/2021,$109.91,1334112,$110.26,$110.94,$109.51
07/13/2021,$109.87,2306958,$111.11,$111.57,$109.30
07/12/2021,$111.25,1704077,$110.77,$111.98,$110.03
07/09/2021,$110.86,2096759,$108.84,$111.15,$108.84
07/08/2021,$108.16,2010459,$108.38,$108.98,$107.20
07/07/2021,$109.75,2079127,$110.33,$111.34,$109.58
07/06/2021,$110.55,2952219,$115.45,$115.455,$110.40
07/02/2021,$115.65,1634550,$116.72,$116.72,$114.96
07/01/2021,$116.37,1554541,$115.61,$116.81,$114.83
06/30/2021,$114.98,1879200,$114.82,$116.25,$114.795
06/29/2021,$114.97,1890779,$115.18,$116.90,$114.565
06/28/2021,$114.83,1942960,$113.69,$115.355,$112.875
06/25/2021,$113.05,2592653,$112.00,$113.575,$111.50
06/24/2021,$111.38,1660066,$112.26,$112.505,$111.01
06/23/2021,$111.25,1554561,$112.05,$112.05,$110.43
06/22/2021,$111.04,2477784,$108.96,$111.54,$108.29
06/21/2021,$108.68,2020351,$108.30,$110.54,$108.10
06/18/2021,$107.63,4255079,$107.89,$108.77,$106.66
06/17/2021,$109.50,2338472,$109.67,$110.335,$107.73
06/16/2021,$109.90,2944314,$112.38,$112.4603,$108.66
06/15/2021,$113.26,1949628,$113.90,$114.39,$112.40
06/14/2021,$114.03,1805432,$114.55,$114.74,$112.775
06/11/2021,$114.45,2364358,$112.56,$115.0422,$112.51
06/10/2021,$112.54,3373290,$115.92,$116.68,$111.73
06/09/2021,$114.99,2195403,$118.40,$118.40,$114.98
06/08/2021,$118.22,1537433,$117.64,$118.98,$116.67
06/07/2021,$117.10,1502981,$116.09,$117.355,$115.53
06/04/2021,$115.99,1641216,$115.50,$116.17,$115.19
06/03/2021,$115.56,2476095,$117.63,$117.98,$114.74
06/02/2021,$118.35,3302812,$114.96,$119.58,$114.44
06/01/2021,$114.90,2818757,$117.33,$117.36,$114.30
05/28/2021,$116.24,4573422,$120.55,$120.55,$114.13
05/27/2021,$118.14,7719442,$121.00,$122.82,$116.63
05/26/2021,$116.96,2969367,$116.00,$118.39,$115.22
05/25/2021,$114.42,1907332,$114.78,$115.54,$114.00
05/24/2021,$114.70,2145751,$116.37,$117.22,$114.55
05/21/2021,$114.93,2549052,$115.61,$116.595,$114.62
05/20/2021,$114.52,2063838,$113.74,$115.02,$112.545
05/19/2021,$113.69,2555674,$115.31,$115.59,$112.665
